CustomerID,StoreID,OrderDateID,ProductID,Quantity,DiscountPercent,ShippingPercent,DiscountAmount,ShippingAmount,TotalAmount
330,50,20260101,96,17,0.13,0.13,476.01,476.01,3661.63
28,50,20260101,294,19,0.13,0.09,207.16,143.42,1529.79
2,50,20260101,355,19,0.04,0.09,219.84,494.63,5770.73
864,50,20260101,182,1,0.14,0.06,64.96,27.84,426.85
2,50,20260101,260,7,0.1,0.11,109.52,120.47,1106.17
922,50,20260101,309,1,0.12,0.07,57.72,33.67,456.95
507,50,20260101,484,17,0.13,0.11,262.92,222.47,1982.04
326,50,20260101,361,9,0.14,0.14,102.73,102.73,733.77
586,50,20260101,9,19,0.15,0.14,598.7,558.79,3951.42
890,50,20260101,99,11,0.04,0.13,5.83,18.96,158.99
696,50,20260101,8,8,0.09,0.1,271.45,301.62,3046.33
312,50,20260101,373,10,0.12,0.07,502.81,293.31,3980.6
844,50,20260101,48,6,0.13,0.14,204.09,219.79,1585.6
233,50,20260101,380,9,0.13,0.08,399.34,245.75,2918.29
36,50,20260101,483,3,0.07,0.12,67.31,115.38,1009.6
764,50,20260101,493,15,0.04,0.08,111.32,222.65,2894.43
848,50,20260101,252,5,0.12,0.12,175.39,175.39,1461.55
93,50,20260101,376,1,0.04,0.14,7.24,25.34,199.13
899,50,20260101,64,6,0.09,0.12,265.73,354.3,3041.11
215,50,20260101,227,8,0.11,0.13,257.2,303.96,2384.92
385,50,20260101,18,12,0.03,0.15,122.11,610.56,4558.85
750,50,20260101,42,13,0.14,0.05,519.86,185.67,3379.13
783,50,20260101,187,3,0.13,0.05,74.21,28.54,525.14
772,50,20260101,150,20,0.03,0.09,165.34,496.03,5842.09
950,50,20260101,130,1,0.1,0.14,2.62,3.67,27.29
142,50,20260101,328,12,0.14,0.08,627.06,358.32,4210.26
398,50,20260101,411,4,0.12,0.13,211.77,229.41,1782.36
5,50,20260101,276,6,0.14,0.08,187.07,106.9,1256.03
722,50,20260101,3,18,0.1,0.1,843.07,843.07,8430.66
181,50,20260101,70,14,0.15,0.08,1017.49,542.66,6308.45
858,50,20260101,273,7,0.08,0.08,127.07,127.07,1588.37
26,50,20260101,99,14,0.11,0.14,194.42,247.45,1820.53
811,50,20260101,170,8,0.13,0.14,100.08,107.78,777.54
607,50,20260101,34,19,0.09,0.08,597.7,531.29,6574.66
834,50,20260101,499,9,0.02,0.14,26.45,185.13,1481.05
348,50,20260101,487,3,0.15,0.13,26.97,23.37,176.19
281,50,20260101,148,6,0.11,0.11,50.47,50.47,458.82
515,50,20260101,125,15,0.07,0.08,55.23,63.12,796.89
611,50,20260101,133,12,0.07,0.1,266.54,380.77,3921.95
886,50,20260101,405,14,0.08,0.11,472.89,650.22,6088.41
336,50,20260101,400,17,0.11,0.11,257.82,257.82,2343.79
824,50,20260101,7,18,0.07,0.09,408.2,524.83,5948.09
374,50,20260101,99,5,0.1,0.1,5.68,5.68,56.8
106,50,20260101,369,17,0.08,0.06,547.62,410.71,6708.31
814,50,20260101,54,15,0.04,0.08,31.73,63.47,825.09
270,50,20260101,172,18,0.05,0.15,169.35,508.06,3725.77
703,50,20260101,71,12,0.15,0.06,894.6,357.84,5427.24
341,50,20260101,291,13,0.12,0.07,710.74,414.6,5626.66
362,50,20260101,48,7,0.11,0.05,59.91,27.23,511.92
293,50,20260101,479,4,0.12,0.08,123.77,82.51,990.14
480,50,20260101,59,16,0.06,0.09,172.92,259.37,2968.37
178,50,20260101,179,3,0.12,0.07,46.76,27.28,370.19
711,50,20260101,349,2,0.08,0.11,3.91,5.38,50.35
583,50,20260101,255,16,0.09,0.08,89.73,79.76,986.99
474,50,20260101,468,16,0.13,0.1,149.55,115.04,1115.89
94,50,20260101,292,19,0.04,0.07,275.64,482.36,7097.64
788,50,20260101,459,13,0.1,0.11,338.51,372.36,3418.92
355,50,20260101,240,18,0.09,0.09,164.48,164.48,1827.54
638,50,20260101,352,4,0.08,0.1,115.93,144.91,1478.1
797,50,20260101,136,17,0.04,0.11,179.83,494.54,4810.53
545,50,20260101,122,20,0.12,0.11,796.22,729.87,6568.85
319,50,20260101,294,17,0.14,0.07,592.79,296.39,3937.79
173,50,20260101,445,19,0.1,0.15,608.46,912.68,6388.78
7,50,20260101,456,4,0.04,0.06,18.84,28.26,480.5
994,50,20260101,261,7,0.09,0.08,282.96,251.52,3112.54
632,50,20260101,435,16,0.05,0.08,341.83,546.93,7041.74
228,50,20260101,322,1,0.14,0.08,33.05,18.88,221.89
231,50,20260101,488,5,0.14,0.1,196.53,140.38,1347.65
56,50,20260101,394,2,0.08,0.08,29.62,29.62,370.24
361,50,20260101,65,18,0.13,0.14,967.82,1042.27,7519.25
480,50,20260101,485,2,0.06,0.12,22.11,44.22,390.65
484,50,20260101,64,11,0.13,0.1,23.84,18.34,177.87
52,50,20260101,75,8,0.08,0.05,257.84,161.15,3126.35
563,50,20260101,81,20,0.1,0.12,348.62,418.34,3555.92
270,50,20260101,285,2,0.07,0.11,51.07,80.25,758.76
749,50,20260101,388,17,0.14,0.05,355.07,126.81,2307.97
99,50,20260101,383,2,0.11,0.15,61.71,84.15,583.42
150,50,20260101,394,1,0.13,0.11,60.35,51.06,454.93
497,50,20260101,296,9,0.04,0.11,90.57,249.06,2422.71
317,50,20260101,491,12,0.11,0.13,73.83,87.25,684.58
799,50,20260101,116,1,0.09,0.08,30.63,27.22,336.87
808,50,20260101,97,7,0.09,0.07,202.94,157.84,2209.74
743,50,20260101,407,19,0.12,0.06,977.5,488.75,7657.12
184,50,20260101,436,12,0.1,0.14,99.36,139.1,1033.34
685,50,20260101,380,4,0.03,0.13,51.73,224.16,1896.71
219,50,20260101,432,12,0.1,0.1,163.8,163.8,1638.0
602,50,20260101,234,5,0.04,0.09,13.2,29.71,346.61
18,50,20260101,351,20,0.14,0.09,469.28,301.68,3184.4
433,50,20260101,191,5,0.14,0.1,168.91,120.65,1158.24
173,50,20260101,446,20,0.12,0.05,973.37,405.57,7543.6
276,50,20260101,222,17,0.14,0.05,524.24,187.23,3407.58
85,50,20260101,489,9,0.05,0.09,127.87,230.16,2659.64
250,50,20260101,267,2,0.12,0.09,23.21,17.41,187.64
651,50,20260101,256,5,0.03,0.09,35.9,107.71,1268.56
333,50,20260101,26,14,0.09,0.13,561.36,810.85,6486.77
534,50,20260101,294,2,0.14,0.09,19.86,12.77,134.75
