DateID,Date,DayOfWeek,Month,Quarter,Year,IsWeekend
20150101,2015-01-01,3,1,1,2015,0
20150102,2015-01-02,4,1,1,2015,0
20150103,2015-01-03,5,1,1,2015,1
20150104,2015-01-04,6,1,1,2015,1
20150105,2015-01-05,0,1,1,2015,0
20150106,2015-01-06,1,1,1,2015,0
20150107,2015-01-07,2,1,1,2015,0
20150108,2015-01-08,3,1,1,2015,0
20150109,2015-01-09,4,1,1,2015,0
20150110,2015-01-10,5,1,1,2015,1
20150111,2015-01-11,6,1,1,2015,1
20150112,2015-01-12,0,1,1,2015,0
20150113,2015-01-13,1,1,1,2015,0
20150114,2015-01-14,2,1,1,2015,0
20150115,2015-01-15,3,1,1,2015,0
20150116,2015-01-16,4,1,1,2015,0
20150117,2015-01-17,5,1,1,2015,1
20150118,2015-01-18,6,1,1,2015,1
20150119,2015-01-19,0,1,1,2015,0
20150120,2015-01-20,1,1,1,2015,0
20150121,2015-01-21,2,1,1,2015,0
20150122,2015-01-22,3,1,1,2015,0
20150123,2015-01-23,4,1,1,2015,0
20150124,2015-01-24,5,1,1,2015,1
20150125,2015-01-25,6,1,1,2015,1
20150126,2015-01-26,0,1,1,2015,0
20150127,2015-01-27,1,1,1,2015,0
20150128,2015-01-28,2,1,1,2015,0
20150129,2015-01-29,3,1,1,2015,0
20150130,2015-01-30,4,1,1,2015,0
20150131,2015-01-31,5,1,1,2015,1
20150201,2015-02-01,6,2,1,2015,1
20150202,2015-02-02,0,2,1,2015,0
20150203,2015-02-03,1,2,1,2015,0
20150204,2015-02-04,2,2,1,2015,0
20150205,2015-02-05,3,2,1,2015,0
20150206,2015-02-06,4,2,1,2015,0
20150207,2015-02-07,5,2,1,2015,1
20150208,2015-02-08,6,2,1,2015,1
20150209,2015-02-09,0,2,1,2015,0
20150210,2015-02-10,1,2,1,2015,0
20150211,2015-02-11,2,2,1,2015,0
20150212,2015-02-12,3,2,1,2015,0
20150213,2015-02-13,4,2,1,2015,0
20150214,2015-02-14,5,2,1,2015,1
20150215,2015-02-15,6,2,1,2015,1
20150216,2015-02-16,0,2,1,2015,0
20150217,2015-02-17,1,2,1,2015,0
20150218,2015-02-18,2,2,1,2015,0
20150219,2015-02-19,3,2,1,2015,0
20150220,2015-02-20,4,2,1,2015,0
20150221,2015-02-21,5,2,1,2015,1
20150222,2015-02-22,6,2,1,2015,1
20150223,2015-02-23,0,2,1,2015,0
20150224,2015-02-24,1,2,1,2015,0
20150225,2015-02-25,2,2,1,2015,0
20150226,2015-02-26,3,2,1,2015,0
20150227,2015-02-27,4,2,1,2015,0
20150228,2015-02-28,5,2,1,2015,1
20150301,2015-03-01,6,3,1,2015,1
