ProductName,Category,Brand,UnitPrice
Pillow,Home Appliances,Everest,283
Speaker,Home & Furniture,UrbanCore,733
Hammock,Outdoor & Garden,Vertex,351
Snorkel Gear,Pets,PrimeLine,615
Hiking Backpack,Outdoor & Garden,Nova,552
Electric Toothbrush,Health & Fitness,Nova,186
Cat Litter Box,Home Appliances,PrimeLine,829
Action Figure,Health & Fitness,Everest,555
Patio Furniture,Electronics,Nova,564
Sheets,Home & Furniture,UrbanCore,946
Hair Dryer,Arts & Crafts,Nova,978
Wi-Fi Extender,Toys & Games,Everest,427
Ping Pong Table,Sports & Recreation,Vertex,523
Speaker,Health & Fitness,Vertex,932
Hair Dryer,Sports & Recreation,Nova,78
Camping Chair,Kitchen & Dining,PrimeLine,343
Yoga Mat,Health & Fitness,Vertex,880
Tennis Racket,Outdoor & Garden,Everest,801
VR Headset,Sports & Recreation,Everest,111
Kayak,Arts & Crafts,Nova,376
Tennis Racket,Toys & Games,UrbanCore,321
Speaker,Home & Furniture,PrimeLine,890
Sheets,Sports & Recreation,PrimeLine,742
Portable Hard Drive,Pets,UrbanCore,680
Garden Hose,Sports & Recreation,UrbanCore,602
Earbuds,Kitchen & Dining,Vertex,571
Electric Kettle,Electronics,UrbanCore,503
Snorkel Gear,Pets,Everest,621
Camping Chair,Home & Furniture,PrimeLine,971
Cat Litter Box,Kitchen & Dining,Nova,954
Golf Clubs,Outdoor & Garden,UrbanCore,66
Ping Pong Table,Electronics,UrbanCore,788
Dishwasher,Arts & Crafts,Vertex,491
Smart Thermostat,Electronics,Nova,441
Hiking Backpack,Home Appliances,Everest,663
Lamp,Electronics,UrbanCore,617
Portable Hard Drive,Toys & Games,PrimeLine,343
Golf Clubs,Pets,Everest,359
Kayak,Electronics,Nova,775
Dishwasher,Home Appliances,Vertex,93
Patio Furniture,Health & Fitness,Vertex,767
VR Headset,Electronics,PrimeLine,455
Electric Kettle,Pets,Everest,638
Hiking Backpack,Home Appliances,Nova,796
Ski Poles,Home & Furniture,Everest,411
Snorkel Gear,Sports & Recreation,PrimeLine,519
Wi-Fi Extender,Electronics,Vertex,740
Golf Clubs,Arts & Crafts,UrbanCore,434
Electric Toothbrush,Electronics,Everest,344
Lamp,Health & Fitness,Nova,257
Lamp,Arts & Crafts,Vertex,527
Earbuds,Arts & Crafts,UrbanCore,352
Backpack,Sports & Recreation,PrimeLine,317
Ski Poles,Electronics,UrbanCore,82
Wi-Fi Extender,Health & Fitness,Vertex,411
Yoga Mat,Electronics,UrbanCore,917
Electric Kettle,Toys & Games,UrbanCore,218
Hair Dryer,Home & Furniture,Vertex,659
Hiking Backpack,Kitchen & Dining,PrimeLine,953
Ski Poles,Pets,Nova,958
Badminton Set,Home Appliances,UrbanCore,385
Keyboard,Electronics,Nova,831
Keyboard,Sports & Recreation,Nova,173
Kayak,Kitchen & Dining,Vertex,470
Earbuds,Toys & Games,UrbanCore,466
Electric Kettle,Pets,Nova,198
Hiking Backpack,Outdoor & Garden,Everest,341
Dishwasher,Home & Furniture,Everest,652
Hiking Backpack,Arts & Crafts,Everest,944
Ping Pong Table,Electronics,Everest,545
Dishwasher,Arts & Crafts,Nova,406
Dishwasher,Kitchen & Dining,Vertex,281
Tennis Racket,Home & Furniture,PrimeLine,717
Cat Litter Box,Home & Furniture,Vertex,661
Kayak,Home Appliances,Nova,917
Camping Chair,Toys & Games,Vertex,488
Tennis Racket,Electronics,Vertex,697
Hair Dryer,Electronics,Vertex,589
Action Figure,Pets,PrimeLine,54
Lamp,Home Appliances,UrbanCore,619
Hiking Backpack,Home & Furniture,UrbanCore,466
Action Figure,Sports & Recreation,PrimeLine,822
Patio Furniture,Sports & Recreation,Everest,170
Action Figure,Sports & Recreation,UrbanCore,655
Hair Dryer,Toys & Games,Vertex,88
VR Headset,Health & Fitness,Everest,75
VR Headset,Arts & Crafts,Vertex,920
Garden Hose,Toys & Games,Nova,384
Action Figure,Electronics,Vertex,50
Cat Litter Box,Electronics,Everest,877
Garden Hose,Toys & Games,UrbanCore,69
Tennis Racket,Health & Fitness,PrimeLine,412
Sheets,Sports & Recreation,Nova,692
Pillow,Health & Fitness,Vertex,833
Dishwasher,Home & Furniture,Vertex,751
Wi-Fi Extender,Sports & Recreation,Nova,215
Fire Pit,Health & Fitness,Nova,93
VR Headset,Home & Furniture,Vertex,637
Portable Hard Drive,Pets,Vertex,708
Camping Chair,Electronics,PrimeLine,672
Patio Furniture,Health & Fitness,PrimeLine,229
Electric Toothbrush,Outdoor & Garden,Everest,980
Lamp,Pets,Vertex,876
Fire Pit,Home Appliances,Everest,317
Ski Poles,Pets,Vertex,989
Kayak,Kitchen & Dining,Nova,56
Wi-Fi Extender,Arts & Crafts,PrimeLine,472
Garden Hose,Pets,PrimeLine,868
Lamp,Pets,Nova,482
Tennis Racket,Home & Furniture,UrbanCore,841
Wi-Fi Extender,Kitchen & Dining,Nova,516
Ski Poles,Kitchen & Dining,Nova,221
Keyboard,Sports & Recreation,PrimeLine,565
Ski Poles,Toys & Games,PrimeLine,443
Sheets,Electronics,Vertex,516
Speaker,Sports & Recreation,Everest,461
Hair Dryer,Toys & Games,PrimeLine,765
Smart Thermostat,Toys & Games,PrimeLine,965
Portable Hard Drive,Arts & Crafts,UrbanCore,683
Dishwasher,Home & Furniture,Nova,266
Pillow,Home Appliances,UrbanCore,533
Portable Hard Drive,Home Appliances,Everest,250
Portable Hard Drive,Health & Fitness,PrimeLine,221
Patio Furniture,Electronics,Everest,360
Yoga Mat,Home & Furniture,Nova,179
Hammock,Sports & Recreation,Nova,495
Snorkel Gear,Home & Furniture,Everest,367
Smart Thermostat,Pets,UrbanCore,884
Snorkel Gear,Sports & Recreation,PrimeLine,463
Snorkel Gear,Home Appliances,UrbanCore,374
Electric Kettle,Toys & Games,Vertex,227
Kayak,Toys & Games,PrimeLine,394
Cat Litter Box,Electronics,Everest,90
Lamp,Home & Furniture,Vertex,677
Electric Toothbrush,Sports & Recreation,PrimeLine,431
Ping Pong Table,Sports & Recreation,UrbanCore,942
Backpack,Toys & Games,PrimeLine,858
VR Headset,Sports & Recreation,Nova,708
Action Figure,Arts & Crafts,Everest,562
Hair Dryer,Home & Furniture,UrbanCore,570
Earbuds,Outdoor & Garden,Nova,488
Ski Poles,Arts & Crafts,PrimeLine,205
VR Headset,Arts & Crafts,Everest,413
Cat Litter Box,Toys & Games,Nova,638
Yoga Mat,Outdoor & Garden,UrbanCore,66
Dishwasher,Electronics,Nova,379
Backpack,Home & Furniture,Nova,376
Cat Litter Box,Health & Fitness,UrbanCore,327
Hair Dryer,Electronics,Everest,999
Earbuds,Arts & Crafts,Nova,658
Kayak,Home & Furniture,UrbanCore,317
Fire Pit,Health & Fitness,PrimeLine,639
Smart Thermostat,Home & Furniture,Vertex,571
Snorkel Gear,Outdoor & Garden,Everest,796
Yoga Mat,Home & Furniture,PrimeLine,489
VR Headset,Home & Furniture,Vertex,111
Tennis Racket,Toys & Games,UrbanCore,79
Hammock,Sports & Recreation,Vertex,393
Action Figure,Pets,Nova,735
Yoga Mat,Electronics,Nova,471
Kayak,Arts & Crafts,PrimeLine,210
Water Bottle,Outdoor & Garden,UrbanCore,883
Golf Clubs,Pets,UrbanCore,690
Badminton Set,Home Appliances,Nova,233
Camping Chair,Home & Furniture,UrbanCore,339
Craft Kit,Sports & Recreation,UrbanCore,244
Craft Kit,Arts & Crafts,UrbanCore,779
Fire Pit,Arts & Crafts,Everest,471
Hair Dryer,Toys & Games,UrbanCore,836
Lamp,Pets,Nova,406
Hair Dryer,Sports & Recreation,PrimeLine,250
Speaker,Sports & Recreation,Everest,750
Dishwasher,Sports & Recreation,Vertex,543
Craft Kit,Kitchen & Dining,Vertex,582
Electric Toothbrush,Toys & Games,Nova,157
Sleeping Pad,Arts & Crafts,Everest,147
Ski Poles,Home & Furniture,Everest,723
Ping Pong Table,Home Appliances,Vertex,226
Golf Clubs,Electronics,Vertex,121
Wi-Fi Extender,Health & Fitness,Nova,196
Speaker,Outdoor & Garden,Nova,985
Electric Toothbrush,Sports & Recreation,PrimeLine,829
Cooler,Home & Furniture,Everest,437
Portable Hard Drive,Pets,UrbanCore,98
Sleeping Pad,Home Appliances,Nova,732
Smart Thermostat,Sports & Recreation,Vertex,289
Craft Kit,Electronics,PrimeLine,563
Electric Toothbrush,Home Appliances,UrbanCore,813
Camping Chair,Home & Furniture,UrbanCore,552
Earbuds,Home Appliances,UrbanCore,830
Backpack,Electronics,UrbanCore,895
Lamp,Health & Fitness,Nova,762
Backpack,Sports & Recreation,Nova,697
Smart Thermostat,Home & Furniture,Nova,235
Keyboard,Toys & Games,PrimeLine,504
Hiking Backpack,Kitchen & Dining,UrbanCore,998
Hiking Backpack,Pets,Vertex,488
Kayak,Outdoor & Garden,Vertex,696
Golf Clubs,Outdoor & Garden,Nova,918
Craft Kit,Kitchen & Dining,UrbanCore,456
Garden Hose,Toys & Games,PrimeLine,248
Action Figure,Pets,Nova,906
Yoga Mat,Electronics,Vertex,167
Cat Litter Box,Toys & Games,Nova,876
Hammock,Home Appliances,Vertex,423
Portable Hard Drive,Sports & Recreation,PrimeLine,219
Action Figure,Pets,PrimeLine,278
Badminton Set,Home Appliances,Everest,898
Patio Furniture,Health & Fitness,Everest,409
Backpack,Toys & Games,Nova,956
Yoga Mat,Kitchen & Dining,Nova,154
Sleeping Pad,Health & Fitness,UrbanCore,666
Cooler,Home & Furniture,PrimeLine,974
Sheets,Health & Fitness,PrimeLine,297
Backpack,Electronics,Nova,637
Wi-Fi Extender,Kitchen & Dining,UrbanCore,235
Badminton Set,Electronics,UrbanCore,394
Kayak,Pets,Everest,825
VR Headset,Home Appliances,Vertex,393
Badminton Set,Kitchen & Dining,Everest,837
Kayak,Home & Furniture,Nova,974
