CustomerID,StoreID,OrderDateID,ProductID,Quantity,DiscountPercent,ShippingPercent,DiscountAmount,ShippingAmount,TotalAmount
171,24,20150331,300,17,0.15,0.07,627.6701037030649,292.91271506143033,3849.709969378798
4,6,20160705,246,2,0.09,0.11,53.10589051756938,64.90719952147369,601.8667591991197
3,35,20191119,148,3,0.13,0.11,52.50049921063665,44.423499332077164,395.7729940494147
404,6,20220904,480,16,0.06,0.08,261.6694793610391,348.8926391480522,4448.381149137665
470,20,20170411,447,17,0.02,0.07,13.291863656306987,46.52152279707446,697.8228419561168
567,46,20200124,283,7,0.11,0.08,278.6424871085844,202.64908153351593,2457.1201135938804
384,37,20201209,275,4,0.07,0.08,64.05058539025987,73.20066901743984,924.1584463451779
959,26,20250520,101,7,0.05,0.09,23.307670317597733,41.95380657167591,484.7995426060328
456,3,20201011,365,17,0.1,0.05,586.4365100737658,293.2182550368829,5571.146845700774
211,2,20191203,262,17,0.07,0.08,85.72374035536718,97.96998897756248,1236.8711108417262
961,22,20180601,348,4,0.11,0.07,83.8860728389359,53.382046352050125,732.0966356852588
537,48,20160814,43,5,0.11,0.08,117.9892789838146,85.81038471550153,1040.450914675456
846,4,20180621,103,8,0.15,0.12,57.39745137250815,45.91796109800652,371.1701855422194
192,30,20220117,203,5,0.15,0.1,300.42874013456344,200.28582675637563,1902.7153541855685
65,38,20251117,165,9,0.09,0.1,144.8548946694104,160.9498829660116,1625.5938179567167
416,38,20250126,124,16,0.07,0.15,37.472100341497686,80.2973578746379,578.1409766973928
28,37,20251218,107,1,0.03,0.12,1.8088670625197374,7.23546825007895,65.72216993821712
986,34,20181105,491,3,0.13,0.14,180.82522045988497,194.73485280295304,1404.8728666498755
942,9,20181112,274,4,0.03,0.08,20.04997402895371,53.46659741054323,701.7490910133799
274,8,20210128,294,16,0.05,0.08,35.057485731967255,56.09197717114761,722.1842060785254
29,48,20180128,304,2,0.14,0.07,63.93318952944036,31.96659476472018,424.69904473128236
320,18,20191201,438,14,0.09,0.15,297.82061773788985,496.3676962298164,3507.6650533573693
396,14,20221025,384,7,0.03,0.09,20.642501452998392,61.92750435899518,729.3683846726099
888,19,20150530,11,3,0.1,0.06,64.12224449230557,38.47334669538334,615.5735471261336
332,4,20220923,155,15,0.14,0.14,270.2125876403226,270.2125876403226,1930.08991171659
86,26,20240104,240,5,0.07,0.09,40.50194310046535,52.07392684345544,590.171170892495
221,28,20190805,384,7,0.09,0.1,70.93545158877461,78.8171684319718,796.0534011629151
540,37,20211223,225,17,0.06,0.11,222.2790814211468,407.51164927210243,3889.8839248700688
873,26,20221227,270,9,0.06,0.13,127.98271997940745,277.2958932887162,2282.358506299433
649,40,20230727,498,6,0.11,0.1,139.2077905286613,126.55253684423754,1252.8701147579516
363,48,20180111,189,15,0.03,0.12,139.34528229800804,557.3811291920322,5062.878590160959
488,42,20200509,62,2,0.12,0.09,56.83345682789296,42.625092620919716,459.40377602546806
595,33,20171221,333,2,0.08,0.12,57.62857634232888,86.44286451349332,749.1714924502754
110,32,20180403,402,5,0.1,0.06,205.0596206454408,123.03577238726446,1968.5723581962313
188,39,20171202,173,11,0.13,0.12,121.3800311518928,112.04310567867027,924.3556218490297
379,34,20201210,288,16,0.14,0.1,81.05414891710383,57.89582065507416,555.799878288712
771,33,20250120,369,13,0.1,0.1,246.16886423463598,246.16886423463598,2461.68864234636
296,7,20160311,360,20,0.13,0.06,1045.3487037582088,482.4686325037886,7478.263803808723
159,23,20161125,276,14,0.05,0.15,161.63595432533643,484.9078629760092,3555.990995157401
940,31,20191024,276,7,0.06,0.15,201.09195628052154,502.7298907013039,3653.1705390961415
885,11,20190901,465,12,0.12,0.14,18.236374043255406,21.275769717131308,155.00917936767095
482,33,20161231,171,16,0.07,0.06,171.46180662764382,146.96726282369468,2424.9598365909624
329,11,20210426,395,11,0.08,0.07,188.50249819447473,164.9396859201654,2332.7184151566244
392,34,20160104,446,16,0.03,0.09,39.49213354310359,118.47640062931079,1395.3887185229937
407,16,20151211,305,17,0.14,0.14,1176.8949861058843,1176.8949861058843,8406.392757899173
11,38,20171103,80,19,0.03,0.08,77.80117343161801,207.46979581764805,2723.0410701066307
761,35,20180618,115,13,0.07,0.1,185.72454201111492,265.32077430159273,2732.803975306405
935,7,20240523,76,19,0.1,0.1,866.4380953047984,866.4380953047984,8664.380953047983
783,50,20231019,428,7,0.1,0.12,52.75347603546443,63.30417124255731,538.0854555617371
777,49,20150820,327,6,0.05,0.13,113.95346443589648,296.2790075333308,2461.394831815364
268,35,20231220,297,13,0.13,0.09,342.8747323720612,237.37481471911929,2531.998023670606
391,1,20210810,100,19,0.07,0.14,14.2521350678456,28.5042701356912,217.854064608497
883,22,20170408,355,6,0.15,0.07,40.08898794762582,18.70819437555872,245.87912607877172
554,35,20250120,136,9,0.13,0.06,38.67821259929135,17.851482738134468,276.69798244108426
43,7,20181113,63,12,0.05,0.15,226.69189099501446,680.0756729850433,4987.221601890318
325,37,20230606,310,16,0.15,0.07,895.067357729079,417.6981002735703,5489.746460738352
333,25,20231020,149,10,0.11,0.08,177.8754387251611,129.3639554364808,1568.5379596673297
53,31,20251225,102,15,0.13,0.14,58.78455267472578,63.306441342012384,456.7107553959464
882,34,20220226,79,10,0.06,0.06,235.05105728214087,235.05105728214087,3917.5176213690147
743,50,20210315,310,4,0.09,0.08,103.38575681058468,91.89845049829749,1137.2433249164314
257,13,20240821,83,11,0.02,0.08,100.53336628209932,402.1334651283973,5328.268412951264
374,22,20230731,358,8,0.09,0.14,325.4813699141329,506.30435319976243,3797.282648998218
770,6,20200412,205,12,0.1,0.07,569.2788191833171,398.49517342832195,5522.004546078176
689,20,20230610,2,10,0.09,0.06,217.3983063953021,144.93220426353471,2343.070635593812
155,22,20250216,320,8,0.06,0.05,95.02886879229857,79.19072399358214,1567.9763350729263
812,40,20241230,193,5,0.08,0.06,127.93437676604478,95.95078257453358,1567.1961153840484
619,27,20171208,141,15,0.02,0.07,70.5677202046018,246.98702071610631,3704.8053107415944
342,9,20251101,277,4,0.1,0.1,142.8718804974458,142.8718804974458,1428.718804974458
276,19,20190531,42,13,0.11,0.1,418.63381396000096,380.5761945090918,3767.7043256400084
607,43,20200912,345,14,0.11,0.07,425.41831980295467,270.72074896551663,3712.7417000985133
332,7,20200618,105,14,0.11,0.12,225.830400410049,246.36043681096254,2073.533676492268
39,44,20250715,302,14,0.05,0.14,324.3480018085975,908.1744050640729,7070.786439427424
977,4,20241121,378,9,0.03,0.13,102.1391036775177,442.6027826025767,3745.100468175649
910,1,20240406,360,18,0.15,0.1,28.677591122899013,19.118394081932674,181.62474377836043
628,41,20161001,46,7,0.04,0.08,74.94543514282431,149.89087028564862,1948.5813137134319
723,9,20150911,54,2,0.04,0.14,23.255421949812927,81.39397682434524,639.5241036198555
174,31,20170902,36,11,0.03,0.14,118.99732298042073,555.3208405752969,4402.900950275567
659,26,20190516,14,17,0.07,0.07,107.67498927328086,107.67498927328086,1538.2141324754407
253,28,20220125,363,10,0.09,0.06,51.1652613331943,34.11017422212954,551.4478165910942
465,20,20160123,430,7,0.02,0.09,64.6062142491209,290.727964121044,3456.4324623279676
734,48,20180807,149,20,0.1,0.11,641.1937463064528,705.3131209370981,6476.056837695174
885,7,20191216,459,12,0.09,0.05,424.84139398769884,236.0229966598327,4531.641535868787
327,15,20240416,246,10,0.13,0.09,504.093844187789,348.9880459761616,3722.539157079057
678,44,20201129,129,11,0.13,0.14,246.50475945103378,265.46666402419027,1915.152361888801
940,32,20180819,288,15,0.14,0.14,698.3669333310053,698.3669333310053,4988.335238078608
917,18,20170108,69,9,0.05,0.14,23.32880975616001,65.32066731724802,508.56805268428815
75,30,20180320,176,15,0.04,0.11,254.5264701678087,699.947792961474,6808.583076988883
644,47,20200314,458,20,0.06,0.15,204.17139976991479,510.42849942478693,3709.113762486785
958,23,20170913,236,20,0.07,0.14,573.4685473509894,1146.9370947019788,8765.876366650838
365,27,20240825,497,17,0.07,0.1,501.688638669005,716.6980552414357,7381.989968986787
250,41,20240411,473,18,0.15,0.09,765.950820977114,459.5704925862684,4799.958478123248
621,14,20240628,274,20,0.13,0.14,296.1089431486694,318.88655416010556,2300.5387121550475
450,18,20230720,460,6,0.08,0.09,17.803159919142782,20.028554909035627,224.7648939791776
417,49,20151103,292,16,0.12,0.11,644.3964820185869,590.6967751837047,5316.270976653343
258,39,20190310,329,16,0.15,0.14,761.594120911943,710.8211795178136,5026.521198018825
506,50,20160121,338,13,0.05,0.07,110.66840099366485,154.9357613911308,2257.6353802707627
473,3,20250218,363,17,0.14,0.08,420.57845239761315,240.3305442272075,2823.8838946696883
699,8,20230301,225,10,0.06,0.08,39.28999005065741,52.38665340087655,667.929830861176
939,31,20200617,337,18,0.12,0.06,186.42490616983306,93.21245308491653,1460.3284316636923
271,2,20250519,447,17,0.12,0.12,133.5394531727946,133.5394531727946,1112.828776439955
353,48,20160920,357,14,0.08,0.11,237.5659293600356,326.6531528700489,3058.661340510458
596,5,20180802,231,17,0.12,0.06,94.65634713658827,47.32817356829413,741.4747192366082
316,6,20230809,265,18,0.09,0.1,597.7466453635261,664.1629392928069,6708.045686857349
224,45,20190812,241,20,0.02,0.11,34.27109456296306,188.4910200962968,1867.7746536814864
348,4,20170301,208,14,0.12,0.09,829.867066531253,622.4002998984398,6708.092121127629
30,33,20180320,223,8,0.06,0.12,158.14645848229836,316.2929169645967,2793.9207665206045
972,10,20171005,209,11,0.11,0.07,597.3685375541478,380.14361480718503,5213.398145927108
622,40,20240513,282,18,0.14,0.13,568.8562388968012,528.2236504041725,4022.626260770237
235,25,20250120,348,16,0.09,0.12,711.9584891101154,949.2779854801538,8147.96937537132
122,48,20250731,185,18,0.02,0.06,67.53240793159546,202.59722379478637,3511.685212442964
257,10,20211027,181,7,0.04,0.09,109.16620352274647,245.62395792617954,2865.612842472095
374,41,20160524,235,15,0.02,0.14,136.31245301948067,954.1871711363648,7633.497369090917
479,34,20160504,20,13,0.06,0.12,195.98102491873223,391.96204983746446,3462.331440230936
694,21,20170215,339,10,0.1,0.15,185.27376514011246,277.91064771016863,1945.3745339711804
993,48,20251007,137,4,0.12,0.13,176.7055806270939,191.43104567935174,1487.2719702780403
847,44,20230917,104,12,0.05,0.13,67.25271273706991,174.85705311638176,1452.65859512071
551,31,20171019,36,2,0.03,0.12,13.030316659929106,52.121266639716424,473.43483864409086
541,33,20190624,401,12,0.11,0.09,443.706522028184,363.03260893215054,3953.0217417056397
843,42,20190411,200,18,0.03,0.09,63.948773551665404,191.8463206549962,2259.5233321588444
283,14,20230717,137,7,0.06,0.09,179.2819261858725,268.9228892788087,3077.673066190811
402,13,20150627,247,11,0.13,0.14,325.31925945903896,350.34381787896507,2527.4804004125335
786,8,20221122,92,7,0.06,0.07,80.5773499716436,94.00690830025088,1356.385391189334
846,1,20200606,16,1,0.02,0.06,8.90457104678291,26.713713140348734,463.03769443271136
749,38,20220416,160,1,0.13,0.1,42.25700882506372,32.50539140389517,315.3022966177831
542,44,20180418,140,11,0.06,0.13,250.6438715213754,543.0617216296467,4469.815708797862
852,18,20180628,277,8,0.07,0.07,247.28902193843768,247.28902193843768,3532.7003134062525
721,41,20160904,322,17,0.1,0.12,522.2433216833568,626.6919860200283,5326.88188117024
737,27,20171222,442,9,0.07,0.1,115.45487743586571,164.93553919409385,1698.8360536991668
56,3,20210721,160,9,0.14,0.1,259.54219583278757,185.3872827377054,1779.7179142819718
615,35,20210125,301,16,0.02,0.07,17.62579852687692,61.69029484406923,925.3544226610384
861,38,20250405,256,19,0.02,0.09,179.99180746691874,809.9631336011342,9629.561699480151
365,50,20201013,478,20,0.1,0.13,279.59487598801854,363.4733387844241,2879.8272226765907
101,50,20151124,109,6,0.14,0.09,143.40452558078172,92.18862358764538,973.10213786959
519,35,20230805,418,6,0.13,0.1,355.48057805667645,273.44659850513574,2652.432005499816
253,35,20180627,201,16,0.05,0.13,62.506159187103634,162.51601388646944,1350.1330384414384
475,14,20200211,346,9,0.09,0.06,351.0864575820051,234.0576383880034,3783.931820606055
120,42,20240129,18,9,0.08,0.13,107.88309982048466,175.31003720828758,1415.9656851438613
642,49,20251207,137,15,0.08,0.08,80.11617650124465,80.11617650124465,1001.4522062655581
99,13,20170215,465,9,0.03,0.14,77.03594407008896,359.5010723270819,2850.329930593292
272,32,20160107,173,11,0.03,0.05,125.2357766194209,208.7262943657015,4258.016405060311
275,50,20170716,367,3,0.06,0.07,21.7794206581365,25.409324101159257,366.62024774529783
628,28,20230402,229,16,0.08,0.06,304.75850545387124,228.56887909040344,3733.2916918099227
766,28,20240523,496,16,0.12,0.14,942.5931724783518,1099.6920345580772,8012.041966065991
590,16,20220419,431,1,0.13,0.06,64.64956135273262,29.83825908587659,462.4930158310871
38,46,20170529,125,16,0.06,0.1,238.9366646643733,398.22777444062217,4141.56885418247
759,13,20150506,422,20,0.06,0.05,354.165530485709,295.1379420714242,5843.731253014199
673,15,20200903,104,19,0.03,0.07,207.1281283147357,483.2989660677167,7180.441781577505
109,34,20150404,97,13,0.06,0.11,367.05808986723713,672.9398314232682,6423.516572676651
768,1,20250114,276,4,0.1,0.12,66.4661663292692,79.75939959512303,677.9548965585458
443,27,20230416,398,9,0.04,0.14,66.04050284840072,231.14175996940253,1816.1138283310197
983,13,20231110,373,17,0.09,0.05,146.21497226621213,81.23054014789564,1559.6263708395963
679,27,20210505,81,11,0.1,0.1,39.295212851668445,39.295212851668445,392.9521285166844
912,27,20250826,132,3,0.11,0.13,68.68706495602106,81.17562222075217,636.9164205012863
571,3,20250916,60,11,0.07,0.11,102.88010330802685,161.66873376975644,1528.50439200497
874,49,20170202,228,5,0.05,0.09,65.31270829190527,117.56287492542947,1358.5043324716296
853,18,20201201,306,9,0.11,0.13,311.7063828182233,368.3802706033548,2890.368277041707
668,23,20230320,52,5,0.03,0.13,25.51231904583105,110.55338253193455,935.4516983471384
577,22,20220419,49,9,0.13,0.06,413.76454600695956,190.96825200321211,2960.0079060497874
545,35,20250415,340,11,0.03,0.11,55.03982599852896,201.81269532793954,1981.4337359470426
184,19,20190324,350,4,0.1,0.13,193.82639529267567,251.97431388047838,1996.4118715145594
21,39,20220813,56,16,0.11,0.12,521.5334167419984,568.9455455367255,4788.625008267439
800,3,20170827,226,5,0.08,0.07,31.07848254128928,27.19367222362812,384.5962214484548
812,32,20190211,278,9,0.03,0.08,27.99649305713108,74.65731481901621,979.8772569995878
416,49,20230219,40,10,0.09,0.14,26.87040247660021,41.798403852489216,313.48802889366914
739,44,20200329,447,13,0.04,0.08,213.12773296836494,426.2554659367299,5541.321057177488
420,1,20220320,81,6,0.04,0.14,45.37224127130743,158.802844449576,1247.7366349609542
434,41,20190101,202,7,0.03,0.14,55.528708757200384,259.1339742002685,2054.5622240164143
213,46,20150606,277,2,0.09,0.08,83.18921915068735,73.94597257838876,915.0814106575608
124,13,20221007,487,3,0.09,0.1,8.086192703685695,8.984658559650773,90.7450514524728
848,18,20170206,18,1,0.11,0.14,6.807036986760276,8.66350161951308,63.73861905784622
562,34,20150428,139,12,0.08,0.08,149.68382701719048,149.68382701719048,1871.047837714881
335,41,20240915,71,7,0.07,0.13,240.8474450415757,447.28811222006914,3647.1184534867175
188,20,20210315,332,7,0.04,0.11,43.35561843474937,119.22795069556076,1159.7627931295456
8,8,20220514,326,15,0.03,0.05,158.13406495176264,263.55677491960444,5376.55820835993
757,14,20150705,245,9,0.03,0.15,56.07697466720322,280.3848733360161,2093.540387575587
371,40,20160323,251,1,0.03,0.07,10.61511280209577,24.768596538223466,367.99057713932
502,7,20210713,363,17,0.02,0.07,105.16207767139744,368.0672718498911,5521.009077748366
642,9,20190314,367,11,0.02,0.06,104.83642696154817,314.5092808846445,5451.494202000505
868,6,20200708,69,16,0.08,0.08,281.0126375153599,281.0126375153599,3512.6579689419987
904,10,20250702,322,6,0.13,0.08,36.31378125737575,22.34694231223123,265.3699399577459
904,10,20250712,321,17,0.07,0.07,11.964909964109673,11.964909964109673,170.92728520156675
129,24,20230106,210,5,0.07,0.11,98.93983105072464,155.4768773654244,1469.9632041821942
422,36,20190512,372,18,0.08,0.11,674.2405238717556,927.080720323664,8680.846744848854
933,14,20211110,230,1,0.07,0.06,26.798328250554878,22.96999564333275,379.0049281149904
704,43,20201101,164,19,0.11,0.05,942.7666432232793,428.5302923742179,8056.369496635296
13,9,20160819,368,14,0.06,0.07,117.79206753556241,137.42407879148948,1982.8331368486338
669,45,20191217,491,5,0.13,0.08,139.93499168542843,86.11384103718672,1022.6018623165922
802,8,20210828,156,18,0.12,0.09,648.6335655770039,486.4751741827529,5243.121321747449
503,46,20231102,85,7,0.12,0.13,24.40520680269193,26.43897403624959,205.41049058932373
773,19,20221216,353,16,0.07,0.12,272.00295113390206,466.29077337240346,4080.0442670085304
405,22,20220508,393,14,0.06,0.15,87.56814192288618,218.92035480721546,1590.8212449324324
852,48,20230224,35,3,0.07,0.15,57.92322577998176,124.1211980999609,893.6726263197186
3,50,20151116,220,7,0.03,0.13,74.59716908239263,323.25439935703474,2735.229533021063
626,30,20180125,465,3,0.07,0.14,29.01801797093527,58.03603594187054,443.5611318414391
158,4,20230219,69,15,0.06,0.07,56.24530038617231,65.61951711720104,946.7958898339007
500,35,20171127,434,1,0.12,0.12,7.56969124474173,7.56969124474173,63.08076037284775
880,21,20160105,285,3,0.06,0.13,60.682859011539584,131.47952785833579,1082.177652372456
313,18,20180323,12,2,0.05,0.07,5.994233929382379,8.391927501135331,122.28237215940054
332,31,20220720,24,6,0.14,0.13,284.22257975509274,263.9209669154432,2009.8596711252983
463,3,20150125,450,12,0.12,0.12,485.65390180358474,485.65390180358474,4047.115848363206
284,19,20241030,181,11,0.1,0.07,479.2656873989238,335.48598117924666,4648.87716776956
749,32,20240523,481,6,0.1,0.05,116.94276510648079,58.471382553240396,1110.9562685115675
487,15,20150513,360,8,0.08,0.05,16.332621117422622,10.207888198389139,198.03303104874925
128,46,20220729,8,18,0.12,0.14,301.9021952960672,352.21922784541175,2566.1686600165713
419,37,20170711,294,11,0.14,0.07,263.5234233772616,131.7617116886308,1750.548455291809
271,20,20220520,244,5,0.09,0.06,19.341188147700546,12.894125431800365,208.45502781410593
425,42,20190326,130,16,0.11,0.08,618.2484795757604,449.6352578732803,5451.827501713524
750,28,20160817,469,16,0.13,0.13,1000.3461444355618,1000.3461444355618,7694.970341812013
183,4,20230923,215,11,0.03,0.11,162.4306812376327,595.5791645379867,5847.504524554778
